timestamp,depth,roll,pitch,yaw,vertical_acceleration,depth_beneath_rov,Depth_below_Transducer_depth_in_M
1618745904.6018503,0.5,3.95,3.74,-173.17,10.2,20.48,18.7
1618745904.7108572,0.5,3.95,3.74,-156.92,10.22,20.48,18.7
1618745904.804878,0.5,3.95,3.74,-156.92,10.22,20.48,18.7
1618745904.8998532,0.5,3.95,3.74,-156.92,10.22,20.48,18.7
1618745904.9948504,0.5,3.95,3.74,-156.92,10.22,20.53,18.7
1618745905.0898895,0.5,3.32,4.2,-157.86,10.22,20.53,18.7
1618745905.1838887,0.0,3.32,4.2,-157.86,10.16,20.53,18.7
1618745905.2788506,0.0,3.32,4.2,-157.86,10.16,20.63,18.7
1618745905.3728487,0.0,3.32,3.74,-128.93,10.16,20.63,18.7
1618745905.4668486,0.5,3.32,3.74,-128.93,10.24,20.63,18.7
1618745905.5608559,0.5,3.32,3.74,-128.93,10.24,20.63,18.7
1618745905.6558495,0.5,3.32,3.74,-128.93,10.24,20.55,18.7
1618745905.751852,0.5,3.97,3.52,-128.93,10.24,20.55,18.7
1618745905.8468575,0.4,3.97,3.52,-128.46,10.17,20.55,18.7
1618745905.942854,0.4,3.97,3.52,-128.46,10.17,20.55,18.7
1618745906.0368543,0.4,3.54,4.23,-128.46,10.17,20.55,18.7
1618745906.130876,0.4,3.54,4.23,-131.46,10.16,20.55,18.7
1618745906.2258608,0.4,3.54,4.23,-131.46,10.16,20.56,18.7
1618745906.3218625,0.4,3.54,4.23,-131.46,10.16,20.56,18.7
1618745906.415853,0.4,3.31,4.18,-131.46,10.16,20.56,18.7
1618745906.5098598,0.4,3.31,4.18,-128.55,10.24,20.56,18.7
1618745906.605852,0.4,3.31,4.18,-128.55,10.24,20.56,18.7
1618745906.7008502,0.4,3.53,3.73,-128.55,10.24,20.46,18.7
1618745906.7962337,0.4,3.53,3.73,-126.93,10.21,20.46,18.7
1618745906.8928607,0.5,3.53,3.73,-126.93,10.21,20.46,18.7
1618745906.9888809,0.5,3.11,3.77,-126.93,10.21,20.39,18.7
1618745907.0848718,0.5,3.11,3.77,-129.97,10.04,20.39,18.7
1618745907.1788716,0.5,3.11,3.77,-129.97,10.04,20.39,18.7
1618745907.2738662,0.4,3.11,3.77,-129.97,10.04,20.39,18.7
1618745907.3838484,0.4,3.97,3.77,-129.97,10.04,20.41,18.7
1618745907.4778528,0.4,3.97,3.95,-127.59,10.17,20.41,18.7
1618745907.5728533,0.5,3.97,3.95,-127.59,10.17,20.41,18.7
1618745907.6688492,0.5,3.97,3.95,-127.59,10.17,20.4,18.7
1618745907.7798505,0.5,4.0,3.77,-129.19,10.17,20.4,18.7
1618745907.8758516,0.5,4.0,3.77,-129.19,10.2,20.4,18.7
1618745907.971854,0.5,4.0,3.77,-129.19,10.2,20.37,18.7
1618745908.0678506,0.5,3.75,3.76,-129.19,10.2,20.37,18.7
1618745908.1618507,0.5,3.75,3.76,-129.59,10.07,20.37,18.7
1618745908.2568555,0.5,3.75,3.76,-129.59,10.07,20.33,18.7
1618745908.3508532,0.5,3.75,3.76,-129.59,10.07,20.33,18.7
1618745908.445861,0.5,3.09,3.74,-129.59,10.07,20.33,18.7
1618745908.5408494,0.5,3.09,3.74,-127.79,10.17,20.33,18.7
1618745908.6358476,0.5,3.09,3.74,-127.79,10.17,20.33,18.7
1618745908.7298484,0.5,3.76,3.74,-127.79,10.17,20.26,18.7
1618745908.824849,0.5,3.76,3.99,-131.28,10.17,20.26,18.7
1618745908.9198515,0.4,3.76,3.99,-131.28,10.17,20.26,18.7
1618745909.0158496,0.4,3.48,3.99,-131.28,10.17,20.37,18.7
1618745909.110848,0.4,3.48,4.6,-129.96,10.17,20.37,18.7
1618745909.203882,0.4,3.48,4.6,-129.96,10.17,20.37,18.7
1618745909.298861,0.4,3.48,4.6,-129.96,10.26,20.37,18.7
1618745909.3938832,0.4,3.48,4.6,-129.96,10.26,20.37,18.7
1618745909.504851,0.4,2.84,5.73,-131.0,10.26,20.37,18.7
1618745909.5998547,0.4,2.84,5.73,-131.0,10.1,20.37,18.7
1618745909.6948934,0.4,2.84,5.73,-131.0,10.1,20.39,18.7
1618745909.7908478,0.4,1.1,5.8,-131.0,10.1,20.39,18.7
1618745909.8868864,0.4,1.1,5.8,-132.8,10.06,20.39,18.7
1618745909.9818468,0.4,1.1,5.8,-132.8,10.06,20.39,18.7
1618745910.07685,0.4,2.22,4.82,-132.8,10.06,20.39,18.7
1618745910.1748998,0.4,2.22,4.82,-139.57,10.06,20.39,18.7
1618745910.2688875,0.4,2.22,4.82,-139.57,10.06,20.39,18.7
1618745910.3638654,0.5,2.22,4.82,-139.57,10.06,20.3,18.7
1618745910.4598603,0.5,5.99,3.31,-139.57,10.06,20.3,18.7
1618745910.5548503,0.5,5.99,3.31,-137.78,10.38,20.3,18.7
1618745910.6498566,0.5,5.99,3.31,-137.78,10.38,20.0,18.7
1618745910.7448888,0.5,7.06,3.71,-137.78,10.38,20.0,18.7
1618745910.8398628,0.5,7.06,3.71,-133.6,10.32,20.0,18.7
1618745910.9468503,0.4,7.06,3.71,-133.6,10.32,20.0,18.7
1618745911.0418508,0.4,7.06,6.12,-133.6,10.32,20.28,18.7
1618745911.1358578,0.4,7.06,6.12,-130.43,10.18,20.28,18.8
1618745911.2318478,0.4,7.06,6.12,-130.43,10.18,20.28,18.8
1618745911.3278525,0.4,7.06,6.12,-130.43,10.18,20.28,18.8
1618745911.422856,0.4,7.06,6.12,-130.43,10.18,20.25,18.8
1618745911.5168571,0.4,2.84,6.12,-132.17,10.18,20.25,18.8
1618745911.6108568,0.5,2.84,6.12,-132.17,10.16,20.25,18.8
1618745911.7058494,0.5,2.84,6.12,-132.17,10.16,20.2,18.8
1618745911.8018506,0.5,1.55,6.88,-130.62,10.16,20.2,18.8
1618745911.8948576,0.5,1.55,6.88,-130.62,10.31,20.2,18.8
1618745911.9898515,0.5,1.55,6.88,-130.62,10.31,20.2,18.8
1618745912.0848598,0.5,1.55,6.88,-130.62,10.31,20.19,18.8
1618745912.1781876,0.5,2.21,6.36,-130.62,10.31,20.19,18.8
1618745912.2731824,0.5,2.21,6.36,-132.53,10.2,20.19,18.8
1618745912.3671918,0.5,2.21,6.36,-132.53,10.2,20.19,18.8
1618745912.4621835,0.5,2.68,6.36,-132.53,10.2,20.17,18.8
1618745912.5571852,0.5,2.68,5.95,-13.0,10.2,20.17,18.8
1618745912.6511848,0.5,2.68,5.95,-13.0,1.0,20.17,18.8
1618745912.7462,0.5,3.51,5.95,-13.0,1.0,20.21,18.8
1618745912.8411856,0.5,3.51,5.95,-13.0,1.0,20.21,18.8
1618745912.9361827,0.5,3.51,6.12,-140.67,1.0,20.21,18.8
1618745913.0301864,0.5,3.51,6.12,-140.67,10.2,20.21,18.8
1618745913.124187,0.5,3.51,6.12,-140.67,10.2,20.21,18.8
1618745913.2191856,0.5,4.2,6.88,-140.67,10.2,20.21,18.8
1618745913.3141866,0.5,4.2,6.88,-134.35,10.37,20.21,18.8
1618745913.4071941,0.5,4.2,6.88,-134.35,10.37,20.21,18.8
1618745913.4871905,0.5,4.98,6.88,-134.35,10.37,20.3,18.8
1618745913.5821846,0.5,4.98,6.88,-134.35,10.37,20.3,18.8
1618745913.6771863,0.5,4.98,5.8,-133.35,10.27,20.3,18.8
1618745913.788182,0.5,4.98,5.8,-133.35,10.27,20.3,18.8
1618745913.884186,0.5,4.39,5.8,-133.35,10.27,2.0,18.8
1618745913.979182,0.5,4.39,6.34,-135.66,10.27,2.0,18.8
1618745914.0747755,0.5,4.39,6.34,-135.66,10.2,2.0,18.8
1618745914.1697192,0.5,4.61,6.34,-135.66,10.2,20.17,18.8
1618745914.2647164,0.5,4.61,6.36,-133.87,10.2,20.17,18.8
1618745914.3607106,0.4,4.61,6.36,-133.87,10.27,20.17,18.8
1618745914.4547226,0.4,5.74,6.36,-133.87,10.27,20.13,18.8
1618745914.5487127,0.4,5.74,5.88,-135.64,10.27,20.13,18.8
1618745914.643711,0.4,5.74,5.88,-135.64,10.27,20.13,18.8
1618745914.7397509,0.5,5.74,5.88,-135.64,10.25,20.13,18.8
1618745914.835716,0.5,5.74,5.88,-135.64,10.25,20.01,18.8
1618745914.9307187,0.5,5.99,5.75,-135.64,10.25,20.01,18.8
1618745915.025712,0.5,5.99,5.75,-134.89,10.15,20.01,18.8
1618745915.1207128,0.5,5.99,5.75,-134.89,10.15,20.01,18.8
1618745915.2147267,0.5,6.3,5.78,-134.89,10.15,20.04,18.8
1618745915.3097148,0.5,6.3,5.78,-138.53,10.19,20.04,18.8
1618745915.4047205,0.5,6.3,5.78,-138.53,10.19,20.04,18.8
1618745915.5007129,0.5,6.3,5.78,-138.53,10.19,20.04,18.8
1618745915.5957093,0.5,6.3,5.78,-138.53,10.19,20.03,18.8
1618745915.6907117,0.5,6.81,5.51,-138.53,10.19,20.03,18.8
1618745915.7837198,0.5,6.81,5.51,-135.93,10.24,20.03,18.8
1618745915.8787146,0.5,6.81,5.51,-135.93,10.24,20.03,18.8
1618745915.9727166,0.5,7.03,5.69,-135.01,10.24,20.03,18.8
1618745916.0677679,0.4,7.03,5.69,-135.01,10.37,20.03,18.8
1618745916.162725,0.4,7.03,5.69,-135.01,10.37,20.04,18.8
1618745916.257713,0.4,7.03,5.69,-135.01,10.37,20.04,18.8
1618745916.352345,0.4,7.47,5.58,-135.01,10.37,20.04,18.8
1618745916.4447143,0.4,7.47,5.58,-139.1,10.19,20.04,18.8
1618745916.5387268,0.5,7.47,5.58,-139.1,10.19,20.04,18.8
1618745916.6327217,0.5,7.12,5.58,-139.1,10.19,19.99,18.8
1618745916.7287254,0.5,7.12,6.12,-140.57,10.19,19.99,18.8
1618745916.8247144,0.5,7.12,6.12,-140.57,10.22,19.99,18.8
1618745916.9207137,0.5,7.12,6.12,-140.57,10.22,20.0,18.8
1618745917.016711,0.5,7.28,5.73,-139.98,10.22,20.0,18.8
1618745917.1107144,0.5,7.28,5.73,-139.98,10.26,20.0,18.8
1618745917.2057211,0.5,7.28,5.73,-139.98,10.26,20.0,18.8
1618745917.3007135,0.5,7.28,5.73,-139.98,10.26,19.97,18.8
1618745917.3957098,0.5,6.96,5.49,-139.98,10.26,19.97,18.8
1618745917.4907203,0.5,6.96,5.49,-139.44,10.28,19.97,18.8
1618745917.5857139,0.5,6.96,5.49,-139.44,10.28,19.93,18.8
1618745917.68072,0.5,7.69,6.44,-139.44,10.28,19.93,18.8
1618745917.7897105,0.5,7.69,6.44,-139.4,10.33,19.93,18.8
1618745917.8997161,0.5,7.69,6.44,-139.4,10.33,19.93,18.8
1618745917.994714,0.5,7.93,5.73,-139.4,10.33,19.93,18.8
1618745918.0907261,0.5,7.93,5.73,-140.2,10.15,19.93,18.8
1618745918.1857147,0.6,7.93,5.73,-140.2,10.15,19.93,18.8
1618745918.279729,0.6,7.93,5.73,-140.2,10.15,19.93,18.8
1618745918.374752,0.6,7.49,6.02,-140.2,10.15,19.93,18.8
1618745918.4707305,0.6,7.49,6.02,-139.71,10.27,19.93,18.8
1618745918.549721,0.5,7.49,6.02,-139.71,10.27,19.93,18.8
1618745918.6597216,0.5,7.56,5.51,-139.71,10.27,19.0,18.8
1618745918.7557156,0.5,7.56,5.51,-139.9,10.23,19.0,18.8
1618745918.850718,0.5,7.56,5.51,-139.9,10.23,19.0,18.8
1618745918.9467351,0.5,7.38,5.51,-139.9,10.23,19.9,18.8
1618745919.0417345,0.5,7.38,5.78,-142.19,10.18,19.9,18.8
1618745919.1387193,0.4,7.38,5.78,-142.19,10.18,19.9,18.8
1618745919.2317245,0.4,7.38,5.78,-142.19,10.18,19.9,18.8
1618745919.3267117,0.4,7.38,5.78,-142.19,10.18,19.9,18.8
1618745919.420715,0.4,8.83,5.75,-142.19,10.18,19.9,18.8
1618745919.515755,0.4,8.83,5.75,-143.72,10.31,19.9,18.8
1618745919.6107213,0.5,8.83,5.75,-143.72,10.31,19.9,18.8
1618745919.7047174,0.5,8.83,6.0,-143.72,10.31,19.85,18.8
1618745919.7987225,0.5,8.83,6.0,-142.49,10.19,19.85,18.8
1618745919.8937492,0.5,8.83,6.0,-142.49,10.19,19.85,18.8
1618745919.9897513,0.5,8.83,6.0,-142.49,10.19,19.86,18.8
1618745920.0837162,0.5,8.48,6.58,-142.49,10.19,19.86,18.8
1618745920.178721,0.5,8.48,6.58,-142.49,10.19,19.86,18.8
1618745920.2727187,0.5,8.48,6.58,-141.13,10.35,19.86,18.8
1618745920.3677213,0.5,8.48,6.58,-141.13,10.35,19.86,18.8
1618745920.4627125,0.5,7.72,6.04,-141.13,10.35,19.86,18.8
1618745920.5577116,0.5,7.72,6.04,-144.26,10.26,19.86,18.8
1618745920.6517124,0.5,7.72,6.04,-144.26,10.26,19.83,18.8
1618745920.7467117,0.5,7.9,5.27,-144.26,10.26,19.83,18.8
1618745920.840724,0.5,7.9,5.27,-142.61,10.26,19.83,18.8
1618745920.9347103,0.5,7.9,5.27,-142.61,10.26,19.0,18.8
1618745921.0297508,0.5,7.9,5.27,-142.61,10.26,19.0,18.8
1618745921.122753,0.5,7.72,5.31,-142.61,10.26,19.0,18.8
1618745921.218713,0.5,7.72,5.31,-144.38,10.15,19.0,18.8
1618745921.3137221,0.6,7.72,5.31,-144.38,10.15,19.0,18.8
1618745921.408714,0.6,7.84,5.93,-144.38,10.15,19.82,18.8
1618745921.5047524,0.6,7.84,5.93,-143.37,10.17,19.82,18.8
1618745921.6157105,0.6,7.84,5.93,-143.37,10.17,19.82,18.8
1618745921.7087214,0.6,8.48,5.93,-143.37,10.17,19.75,18.8
1618745921.8047125,0.6,8.48,6.63,-145.44,10.17,19.75,18.8
1618745921.8987267,0.5,8.48,6.63,-145.44,10.21,19.75,18.8
1618745921.9937167,0.5,8.48,6.63,-145.44,10.21,19.75,18.8
1618745922.087751,0.5,8.14,6.63,-145.44,10.21,19.72,18.8
1618745922.1817257,0.5,8.14,5.93,-146.08,10.21,19.72,18.8
1618745922.2767127,0.5,8.14,5.93,-146.08,10.33,19.72,18.8
1618745922.3717144,0.5,8.31,5.93,-146.08,10.33,19.67,18.8
1618745922.4667099,0.5,8.31,5.93,-147.21,10.33,19.67,18.8
1618745922.560849,0.5,8.31,5.93,-147.21,10.3,19.67,18.8
1618745922.6548886,0.5,8.31,5.93,-147.21,10.3,19.67,18.8
1618745922.7498431,0.5,8.3,5.75,-147.21,10.3,19.67,18.8
1618745922.8588412,0.5,8.3,5.75,-146.34,10.27,19.67,18.8
1618745922.968843,0.5,8.3,5.75,-146.34,10.27,19.67,18.8
1618745923.064846,0.5,8.37,5.73,-146.34,10.27,19.67,18.8
1618745923.1628492,0.5,8.37,5.73,-146.34,10.27,19.67,18.8
1618745923.2698727,0.5,8.37,5.73,-146.59,10.22,19.67,18.8
1618745923.376846,0.6,8.37,5.73,-146.59,10.22,19.67,18.8
1618745923.471847,0.6,8.37,5.73,-146.59,10.22,19.62,18.8
1618745923.566855,0.6,8.12,5.87,-146.59,10.22,19.62,18.8
1618745923.661846,0.6,8.12,5.87,-147.3,10.26,19.62,18.8
1618745923.7568448,0.5,8.12,5.87,-147.3,10.26,19.61,18.8
1618745923.8518457,0.5,8.06,5.67,-147.3,10.26,19.61,18.8
1618745923.9458532,0.5,8.06,5.67,-147.46,10.3,19.61,18.8
1618745924.0408432,0.6,8.06,5.67,-147.46,10.3,19.61,18.8
1618745924.1378465,0.6,8.12,5.67,-147.46,10.3,19.56,18.8
1618745924.2318792,0.6,8.12,5.93,-149.82,10.3,19.56,18.8
1618745924.3258464,0.6,8.12,5.93,-149.82,10.3,19.56,18.8
1618745924.4208448,0.6,8.12,5.93,-149.82,10.38,19.56,18.8
1618745924.5158408,0.6,8.61,5.93,-149.82,10.38,19.54,18.8
1618745924.6108463,0.6,8.61,6.07,-151.48,10.38,19.54,18.8
1618745924.7058432,0.5,8.61,6.07,-151.48,10.36,19.54,18.8
1618745924.8008413,0.5,8.61,6.07,-151.48,10.36,19.54,18.8
1618745924.8958454,0.5,9.28,5.15,-151.48,10.36,19.52,18.8
1618745924.9898548,0.5,9.28,5.15,-150.29,10.3,19.52,18.8
1618745925.0838442,0.5,9.28,5.15,-150.29,10.3,19.52,18.8
1618745925.1798449,0.6,9.28,5.15,-150.29,10.3,19.52,18.8
1618745925.2738674,0.6,8.97,5.15,-150.29,10.3,19.47,18.8
1618745925.3678522,0.6,8.97,5.53,-151.18,10.3,19.47,18.8
1618745925.4618437,0.5,8.97,5.53,-151.18,10.3,19.47,18.8
1618745925.5558517,0.5,8.97,5.53,-151.18,10.3,19.53,18.8
1618745925.6498406,0.5,8.8,5.73,-151.18,10.3,19.53,18.8
1618745925.7448523,0.5,8.8,5.73,-153.35,10.3,19.53,18.8
1618745925.8418443,0.5,8.8,5.73,-153.35,10.3,19.46,18.8
1618745925.9338536,0.5,8.8,5.73,-153.35,10.3,19.46,18.8
1618745926.027846,0.5,10.34,5.49,-153.35,10.3,19.46,18.8
1618745926.122846,0.5,10.34,5.49,-149.34,10.28,19.46,18.8
1618745926.2178462,0.4,10.34,5.49,-149.34,10.28,19.46,18.8
1618745926.3118455,0.4,9.3,5.49,-149.34,10.28,19.43,18.8
1618745926.406846,0.4,9.3,5.31,-155.0,10.28,19.43,18.8
1618745926.501842,0.5,9.3,5.31,-155.0,10.34,19.43,18.8
1618745926.5971906,0.5,10.27,5.31,-155.0,10.34,19.43,18.8
1618745926.6931822,0.5,10.27,6.46,-154.67,10.34,19.43,18.8
1618745926.788181,0.5,10.27,6.46,-154.67,10.45,19.43,18.8
1618745926.880188,0.5,10.27,6.46,-154.67,10.45,19.43,18.8
1618745926.9741814,0.5,10.27,6.46,-154.67,10.45,19.43,18.8
1618745927.06918,0.5,9.03,6.04,-154.67,10.45,19.31,18.8
1618745927.1641798,0.5,9.03,6.04,-155.76,10.38,19.31,18.8
1618745927.260186,0.6,9.03,6.04,-155.76,10.38,19.31,18.8
1618745927.3561802,0.6,9.48,5.97,-155.76,10.38,19.35,18.8
1618745927.451177,0.6,9.48,5.97,-152.85,10.49,19.35,18.8
1618745927.547176,0.5,9.48,5.97,-152.85,10.49,19.35,18.8
1618745927.6411817,0.5,9.48,5.97,-152.85,10.49,19.33,18.8
1618745927.7381773,0.5,9.48,5.97,-152.85,10.49,19.33,18.8
1618745927.8331785,0.5,9.24,5.84,-152.85,10.49,19.33,18.8
1618745927.9271798,0.5,9.24,5.84,-155.0,10.25,19.33,18.8
1618745928.0221767,0.5,9.24,5.84,-155.0,10.25,19.32,18.8
1618745928.11718,0.5,9.68,5.97,-155.0,10.25,19.32,18.8
1618745928.213183,0.5,9.68,5.97,-154.78,10.25,19.32,18.8
1618745928.3071797,0.5,9.68,5.97,-154.78,10.25,19.32,18.8
1618745928.4021802,0.5,9.92,5.97,-154.78,10.25,19.31,18.8
1618745928.497188,0.5,9.92,5.97,-157.1,10.25,19.31,18.8
1618745928.5921762,0.5,9.92,5.97,-157.1,10.25,19.31,18.8
1618745928.6861782,0.5,9.92,5.97,-157.1,10.22,19.31,18.8
1618745928.7811835,0.5,9.05,5.97,-157.1,10.22,19.25,18.8
1618745928.8901777,0.5,9.05,6.63,-153.17,10.22,19.25,18.8
1618745928.9861748,0.5,9.05,6.63,-153.17,10.31,19.25,18.8
1618745929.080178,0.5,9.05,6.63,-153.17,10.31,19.25,18.8
1618745929.1751785,0.5,9.0,5.8,-153.17,10.31,19.21,18.8
1618745929.2701933,0.5,9.0,5.8,-157.28,10.31,19.21,18.8
1618745929.3651884,0.5,9.0,5.8,-157.28,10.31,19.21,18.8
1618745929.4591765,0.5,8.91,5.8,-157.28,10.31,19.18,18.8
1618745929.5531795,0.5,8.91,6.27,-157.06,10.2,19.18,18.8
1618745929.6621904,0.5,8.91,6.27,-157.06,10.2,19.18,18.8
1618745929.7571867,0.5,8.91,6.27,-157.06,10.2,19.11,18.7
1618745929.853176,0.5,8.91,6.27,-157.06,10.2,19.11,18.7
1618745929.9481773,0.5,9.83,6.22,-157.06,10.2,19.11,18.7
1618745930.0411794,0.5,9.83,6.22,-155.73,10.2,19.11,18.7
1618745930.1371942,0.5,9.83,6.22,-155.73,10.2,19.04,18.7
1618745930.2321796,0.5,10.17,5.97,-155.73,10.2,19.04,18.7
1618745930.32618,0.5,10.17,5.97,-156.49,10.26,19.04,18.7
1618745930.420178,0.5,10.17,5.97,-156.49,10.26,19.04,18.7
1618745930.5161774,0.5,9.76,5.97,-156.49,10.26,19.01,18.7
1618745930.6091812,0.5,9.76,5.97,-158.74,10.26,19.01,18.7
1618745930.7041783,0.7,9.76,5.97,-158.74,10.22,19.01,18.7
1618745930.799215,0.7,9.76,5.97,-158.74,10.22,19.01,18.7
1618745930.8931804,0.7,9.48,5.97,-158.74,10.22,18.94,18.7
